event_type,items/0/releases,items/0/country_code,items/0/amount_paid_fmt,items/0/currency,items/0/item_price,items/0/artist_name,items/0/item_type,items/0/album_title,items/0/amount_paid,items/0/package_image_id,items/0/country,items/0/slug_type,items/0/amount_paid_usd,items/0/art_id,items/0/art_url,items/0/utc_date,items/0/url,items/0/track_album_slug_text,items/0/item_description,utc_date,items/1/releases,items/1/country_code,items/1/amount_paid_fmt,items/1/currency,items/1/item_price,items/1/artist_name,items/1/item_type,items/1/album_title,items/1/amount_paid,items/1/package_image_id,items/1/country,items/1/slug_type,items/1/amount_paid_usd,items/1/art_id,items/1/art_url,items/1/utc_date,items/1/url,items/1/track_album_slug_text,items/1/item_description,items/2/releases,items/2/country_code,items/2/amount_paid_fmt,items/2/currency,items/2/item_price,items/2/artist_name,items/2/item_type,items/2/album_title,items/2/amount_paid,items/2/package_image_id,items/2/country,items/2/slug_type,items/2/amount_paid_usd,items/2/art_id,items/2/art_url,items/2/utc_date,items/2/url,items/2/track_album_slug_text,items/2/item_description,items/0/amount_over_fmt,items/3/releases,items/3/country_code,items/3/amount_paid_fmt,items/3/currency,items/3/item_price,items/3/artist_name,items/3/item_type,items/3/album_title,items/3/amount_paid,items/3/package_image_id,items/3/country,items/3/slug_type,items/3/amount_paid_usd,items/3/art_id,items/3/art_url,items/3/utc_date,items/3/url,items/3/track_album_slug_text,items/3/item_description,items/4/releases,items/4/country_code,items/4/amount_paid_fmt,items/4/currency,items/4/item_price,items/4/artist_name,items/4/item_type,items/4/album_title,items/4/amount_paid,items/4/package_image_id,items/4/country,items/4/slug_type,items/4/amount_paid_usd,items/4/art_id,items/4/art_url,items/4/utc_date,items/4/url,items/4/track_album_slug_text,items/4/item_description,items/0/addl_count,items/0/item_slug
sale,,ca,$2.99,USD,2.99000000953674,The Glitch Mob,a,,2.99,,Canada,a,2.99,2864286585,https://f4.bcbits.com/img/a2864286585_7.jpg,1633003867.03908,//theglitchmob.bandcamp.com/album/chemicals-ep,,Chemicals - EP,1633003867.40473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,gb,$1,USD,1,Sace 2,t,Sace 2 - Adventures in Sound and Space,1,,United Kingdom,t,1,3531559156,https://f4.bcbits.com/img/a3531559156_7.jpg,1633003871.82142,//microciudad.bandcamp.com/track/tell-me-are-you-ready,,Tell me are you ready,1633003871.98122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,jp,$0.99,USD,0.990000009536743,Rocketchip,t,,0.99,,Japan,t,0.99,1358633088,https://f4.bcbits.com/img/a1358633088_7.jpg,1633003874.03773,//rocketchip.bandcamp.com/track/endeavor-original-chiptune,,Endeavor [Original Chiptune],1633003874.68067,,jp,$1,USD,1,Rocketchip,t,,1,,Japan,t,1,2243569103,https://f4.bcbits.com/img/a2243569103_7.jpg,1633003874.83617,//rocketchip.bandcamp.com/track/spring-break,,Spring Break,,jp,$0.99,USD,0.990000009536743,"Rocketchip, Ghost Gallo",t,,0.99,,Japan,t,0.99,1623417066,https://f4.bcbits.com/img/a1623417066_7.jpg,1633003874.35577,//rocketchip.bandcamp.com/track/strawberry-sunsets,,Strawberry Sunsets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,gb,£1,GBP,1,The Martinez Brothers,t,,1,,United Kingdom,t,1.35,2521285184,https://f4.bcbits.com/img/a2521285184_7.jpg,1633003877.53688,//fabricrecords.bandcamp.com/track/mistakes-2,,Mistakes,1633003877.37604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,ca,$2,USD,2,Flock of Dimes,a,,2,,Canada,a,2,805317315,https://f4.bcbits.com/img/a0805317315_7.jpg,1633003879.6403,//flockofdimes.bandcamp.com/album/live-at-bettys,,Live at Betty's,1633003879.57506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,us,£3,GBP,2.90000009536743,Burial,a,,3,,United States,a,4.04,4127751068,https://f4.bcbits.com/img/a4127751068_7.jpg,1633003879.39012,//burial.bandcamp.com/album/burial-south-london-boroughs-hdb001,,South London Boroughs,1633003879.58694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,dk,€3,EUR,0,Smile Davis,a,,3,,Denmark,a,3.49,1146407902,https://f4.bcbits.com/img/a1146407902_7.jpg,1633003880.3069,//ulurumusic.bandcamp.com/album/ulurus-mashup-remix-collection,,Uluru's MashUp/Remix Collection,1633003880.83879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,gb,€1,EUR,1,Pépe,t,Surrounded By Sunflowers,1,,United Kingdom,t,1.16,661006543,https://f4.bcbits.com/img/a0661006543_7.jpg,1633003886.97564,//pepesorchidgarden.bandcamp.com/track/where-bees-come-to-rest-bdsm-mix,,Where Bees Come To Rest (BDSM Mix),1633003886.03526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,14,us,$75 HKD,HKD,72.8000030517578,Underbelly,b,,75,,United States,,9.63,3859437990,https://f4.bcbits.com/img/a3859437990_7.jpg,1633003891.78599,//underbellymusic.bandcamp.com,,full digital discography (14 releases),1633003891.23655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,de,$1.30,USD,1.29999995231628,Snips,t,Blasphemy,1.3,,Germany,t,1.3,2515523154,https://f4.bcbits.com/img/a2515523154_7.jpg,1633003896.53662,//snipsbarbershop.bandcamp.com/track/modulate-the-love,,Modulate The Love,1633003896.37264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,gb,£13,GBP,12.9899997711182,V/A,p,NCM003: NOOD5,13,26194629,United Kingdom,a,17.48,,https://f4.bcbits.com/img/0026194629_37.jpg,1633003900.45071,//noodsradio.bandcamp.com/album/ncm003-nood5,,"12"" Vinyl EP",1633003900.69643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sale,,fr,$5,USD,0,Sombre Arcane,a,,5,,France,a,5,2955348961,https://f4.bcbits.com/img/a2955348961_7.jpg,1633003903.54336,//sombrearcane.bandcamp.com/album/realmsong,,Realmsong,1633003903.12955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
